"product_link","discount_percentage","product_image","product_name_plus_year","new_price","snize-visually-hidden","old_price_before_discount"
"https://winechateau.com/collections/wines/products/patz-hall-chard-dutton-ranch","13% off","https://cdn.shopify.com/s/files/1/1780/9427/products/PATZ-HALL-CHARD-DUTTON-RANCH_large.jpg?v=1746071925","PATZ & HALL CHARD DUTTON RANCH","$47.97","Old price","$54.97"
"https://winechateau.com/collections/wines/products/pessac-leognan-blanc-chateau-tour-leognan-2020-case-6","9% off","https://cdn.shopify.com/s/files/1/1780/9427/products/2020ChateauTourLeognanBlanc-Pessac_cdb85d8a-6041-41ac-8b4f-57978ae965ca_large.jpg?v=1666027670","Pessac-Leognan Blanc 'Chateau Tour Leognan' 2021","$28.97","Old price","$31.97"
"https://winechateau.com/collections/wines/products/pizzolato-cabernet-nsa","17% off","https://cdn.shopify.com/s/files/1/1780/9427/products/PIZZOLATO-CABERNET-NSA_large.jpg?v=1746072098","PIZZOLATO CABERNET NSA","$14.97","Old price","$17.97"
"https://winechateau.com/collections/wines/products/pizzolato-rosso-convento-nsa","17% off","https://cdn.shopify.com/s/files/1/1780/9427/products/PIZZOLATO-ROSSO-CONVENTO-NSA_large.jpg?v=1746072111","PIZZOLATO ROSSO CONVENTO NSA","$14.97","Old price","$17.97"
"https://winechateau.com/collections/wines/products/pres-tawny-port","11% off","https://cdn.shopify.com/s/files/1/1780/9427/products/PRES-TAWNY-PORT_large.jpg?v=1746072188","PRES TAWNY PORT","$15.97","Old price","$17.97"
"https://winechateau.com/collections/wines/products/prunotto-barolo-docg","12% off","https://cdn.shopify.com/s/files/1/1780/9427/products/PRUNOTTO-BAROLO-DOCG_large.jpg?v=1746072250","PRUNOTTO BAROLO DOCG","$58.97","Old price","$66.97"
"https://winechateau.com/collections/wines/products/purple-hands-pinot-noir-shea-vineyard","13% off","https://cdn.shopify.com/s/files/1/1780/9427/products/14_e5d3efbe-9e42-4297-9fce-849ab6b49eb4_large.png?v=1665888795","Purple Hands - Pinot Noir - Shea Vineyard","$62.97","Old price","$71.97"
"https://winechateau.com/collections/wines/products/quintessa-rutherford-red-2021","27% off","https://cdn.shopify.com/s/files/1/1780/9427/files/rshrpsy5yd0vxhlydxw9_large.jpg?v=1762558704","QUINTESSA RUTHERFORD RED 2022","$259.99","Old price","$299.97"
"https://winechateau.com/collections/wines/products/r-coll-by-raymond-cabernet","11% off","https://cdn.shopify.com/s/files/1/1780/9427/files/R-COLL-BY-RAYMOND-CABERNET_large.jpg?v=1746124750","R COLL BY RAYMOND CABERNET","$15.97","Old price","$17.97"
"https://winechateau.com/collections/wines/products/rabble-zinfandel","10% off","https://cdn.shopify.com/s/files/1/1780/9427/products/RABBLE-ZINFANDEL_large.jpg?v=1746072355","RABBLE ZINFANDEL","$26.97","Old price","$29.97"
"https://winechateau.com/collections/wines/products/rashi-light-pink-concord-750-ml","14% off","https://cdn.shopify.com/s/files/1/1780/9427/products/RASHI-LIGHT-PINK-CONCORD-750-ML_large.jpg?v=1746072380","RASHI  LIGHT PINK CONCORD 750 ML","$5.97","Old price","$6.97"
"https://winechateau.com/collections/wines/products/rashi-light-red-concord-750-ml","14% off","https://cdn.shopify.com/s/files/1/1780/9427/products/RASHI-LIGHT-RED-CONCORD-750-ML_large.jpg?v=1746072382","RASHI  LIGHT RED CONCORD 750 ML","$5.97","Old price","$6.97"
"https://winechateau.com/collections/wines/products/red-diamond-cab-sauv","8% off","https://cdn.shopify.com/s/files/1/1780/9427/files/RED-DIAMOND-CAB-SAUV_large.jpg?v=1746124774","RED DIAMOND CAB SAUV","$11.97","Old price","$12.97"
"https://winechateau.com/collections/wines/products/riporta-old-vine-sangiovese","11% off","https://cdn.shopify.com/s/files/1/1780/9427/products/RIPORTA-OLD-VINE-SANGIOVESE_large.jpg?v=1746072533","RIPORTA OLD VINE SANGIOVESE","$16.97","Old price","$18.97"
"https://winechateau.com/collections/wines/products/riporta-pinot-grigio","17% off","https://cdn.shopify.com/s/files/1/1780/9427/products/RIPORTA-PINOT-GRIGIO_large.jpg?v=1746072534","RIPORTA PINOT GRIGIO","$14.97","Old price","$17.97"
"https://winechateau.com/collections/wines/products/robertson-nat-swt-rose","10% off","https://cdn.shopify.com/s/files/1/1780/9427/products/ROBERTSON-NAT-SWT-ROSE_large.jpg?v=1746072601","ROBERTSON NAT SWT ROSE","$8.97","Old price","$9.97"
"https://winechateau.com/collections/wines/products/ruff-prosecco-organic","12% off","https://cdn.shopify.com/s/files/1/1780/9427/products/RUFF-PROSECCO-ORGANIC_large.jpg?v=1746072767","RUFF PROSECCO ORGANIC","$21.97","Old price","$24.97"
"https://winechateau.com/collections/wines/products/s-marg-p-grigio-a-adige","14% off","https://cdn.shopify.com/s/files/1/1780/9427/products/S-MARG-P-GRIGIO-A-ADIGE_large.jpg?v=1746072820","S MARG P GRIGIO A ADIGE","$31.97","Old price","$36.97"
"https://winechateau.com/collections/wines/products/saint-m-riesling","16% off","https://cdn.shopify.com/s/files/1/1780/9427/files/SAINT-M-RIESLING_large.jpg?v=1746124802","SAINT M RIESLING","$15.97","Old price","$18.97"
"https://winechateau.com/collections/wines/products/shiloh-petit-verdot-secret-reserve-shiloh-750-ml","13% off","https://cdn.shopify.com/s/files/1/1780/9427/products/SHILOH-PETIT-VERDOT-SECRET-RESERVE-SHILOH-750-ML_large.jpg?v=1746073095","SHILOH  PETIT VERDOT SECRET RESERVE SHILOH 750 ML","$52.97","Old price","$60.97"
"https://winechateau.com/collections/wines/products/simi-cabernet-sauvignon-sonoma-county-2019","25% off","https://cdn.shopify.com/s/files/1/1780/9427/files/SIMICabernetSauvignonBottle_large.webp?v=1764190776","SIMI CABERNET SAUVIGNON SONOMA COUNTY 2022","$23.99","Old price","$31.97"
"https://winechateau.com/collections/wines/products/skyfall-cabernet-sauvignon-2020","9% off","https://cdn.shopify.com/s/files/1/1780/9427/products/SKYFALL-CABERNET-SAUVIGNON-2020_large.jpg?v=1746073170","SKYFALL CABERNET SAUVIGNON 2020","$19.97","Old price","$21.97"
"https://winechateau.com/collections/wines/products/spartico-red-nsa-temp-cab","17% off","https://cdn.shopify.com/s/files/1/1780/9427/products/SPARTICO-RED-NSA-TEMPCAB_large.jpg?v=1746073227","SPARTICO RED NSA TEMP/CAB","$14.97","Old price","$17.97"
"https://winechateau.com/collections/wines/products/spasso-montepulciano-nl","15% off","https://cdn.shopify.com/s/files/1/1780/9427/products/SPASSO-MONTEPULCIANO-NL_large.jpg?v=1746073228","Spasso Montepulciano Nl","$10.97","Old price","$12.97"
"https://winechateau.com/collections/wines/products/st-francis-reserve-old-vines-zinfandel-2019","13% off","https://cdn.shopify.com/s/files/1/1780/9427/products/sfv_reserve_zinfandel_btl_535px_large.jpg?v=1665841191","ST FRANCIS RESERVE OLD VINES ZINFANDEL 2019","$32.97","Old price","$37.97"
"https://winechateau.com/collections/wines/products/st-vincent-brut","13% off","https://cdn.shopify.com/s/files/1/1780/9427/products/ST-VINCENT-BRUT_large.jpg?v=1746073291","ST VINCENT BRUT","$13.97","Old price","$15.97"
"https://winechateau.com/collections/wines/products/st-mich-col-vly-riesl-hs","12% off","https://cdn.shopify.com/s/files/1/1780/9427/products/ST-MICH-COL-VLY-RIESL-HS_large.jpg?v=1746073267","Chateau Ste. Michelle Harvest Select Sweet Riesling","$14.97","Old price","$16.97"
"https://winechateau.com/collections/wines/products/stellar-pinotage","6% off","https://cdn.shopify.com/s/files/1/1780/9427/products/STELLAR-PINOTAGE_large.jpg?v=1746073377","STELLAR PINOTAGE","$14.97","Old price","$15.97"
"https://winechateau.com/collections/wines/products/stone-cellar-p-grigio","12% off","https://cdn.shopify.com/s/files/1/1780/9427/products/STONE-CELLAR-P-GRIGIO_large.jpg?v=1746073400","STONE CELLAR P GRIGIO","$7.97","Old price","$8.97"
"https://winechateau.com/collections/wines/products/summer-water-rose-2021","13% off","https://cdn.shopify.com/s/files/1/1780/9427/products/SUMMER-WATER-ROSE-2021_large.jpg?v=1746073430","SUMMER WATER ROSE 2021","$20.97","Old price","$23.97"
"https://winechateau.com/collections/wines/products/tavernello-red","","https://cdn.shopify.com/s/files/1/1780/9427/products/TAVERNELLO-RED_large.jpg?v=1746073491","TAVERNELLO RED","$7.97","",""
"https://winechateau.com/collections/wines/products/the-seeker-sauvignon-blanc-2022","9% off","https://cdn.shopify.com/s/files/1/1780/9427/products/THE-SEEKER-SAUVIGNON-BLANC-2022_large.jpg?v=1746073606","THE SEEKER SAUVIGNON BLANC 2022","$19.97","Old price","$21.97"
"https://winechateau.com/collections/wines/products/thistledown-thorny-devil-grena","11% off","https://cdn.shopify.com/s/files/1/1780/9427/products/THISTLEDOWN-THORNY-DEVIL-GRENA_large.jpg?v=1746073624","THISTLEDOWN THORNY DEVIL GRENA","$24.97","Old price","$27.97"
"https://winechateau.com/collections/wines/products/torre-rosazza-pinot-grigio-doc","12% off","https://cdn.shopify.com/s/files/1/1780/9427/products/TORRE-ROSAZZA-PINOT-GRIGIO-DOC_large.jpg?v=1746073661","TORRE ROSAZZA PINOT GRIGIO DOC","$22.97","Old price","$25.97"
"https://winechateau.com/collections/wines/products/tree-fort-cab-sauv-paso-robles","11% off","https://cdn.shopify.com/s/files/1/1780/9427/products/TREE-FORT-CAB-SAUV-PASO-ROBLES_large.jpg?v=1746073717","TREE FORT CAB SAUV PASO ROBLES","$16.97","Old price","$18.97"
"https://winechateau.com/collections/wines/products/trenel-beaujolais-cuvee-rochebonne-20","15% off","https://cdn.shopify.com/s/files/1/1780/9427/products/TRENEL-BEAUJOLAIS-CUVEE-ROCHEBONNE-20_large.jpg?v=1746073733","TRENEL BEAUJOLAIS CUVEE ROCHEBONNE 20","$16.97","Old price","$19.97"
"https://winechateau.com/collections/wines/products/tsililis-theopetra-white","12% off","https://cdn.shopify.com/s/files/1/1780/9427/products/TSILILIS-THEOPETRA-WHITE_large.jpg?v=1746073767","TSILILIS THEOPETRA WHITE","$22.97","Old price","$25.97"
"https://winechateau.com/collections/wines/products/tura-tura-mountain-vista-rose-n-m-750-ml","11% off","https://cdn.shopify.com/s/files/1/1780/9427/products/TURA-TURA-MOUNTAIN-VISTA-ROSE-NM-750-ML_large.jpg?v=1746073784","TURA  TURA MOUNTAIN VISTA ROSE N/M 750 ML","$33.97","Old price","$37.97"
"https://winechateau.com/collections/wines/products/twomey-p-noir-anderson-vly-20","12% off","https://cdn.shopify.com/s/files/1/1780/9427/files/Twomey-Anderson-Valley-Pinot-Noir-2020_large.jpg?v=1746073799","Twomey Anderson Valley Pinot Noir 2020","$58.97","Old price","$66.97"
"https://winechateau.com/collections/wines/products/uptown-strawberry-margarita","13% off","https://cdn.shopify.com/s/files/1/1780/9427/products/UPTOWN-STRAWBERRY-MARGARITA_large.webp?v=1746073844","UPTOWN STRAWBERRY MARGARITA","$20.97","Old price","$23.97"
"https://winechateau.com/collections/wines/products/va37-valckbg-dornfelder","13% off","https://cdn.shopify.com/s/files/1/1780/9427/products/VA37-VALCKBG-DORNFELDER_large.jpg?v=1746073873","VA37 VALCKBG DORNFELDER","$13.97","Old price","$15.97"
"https://winechateau.com/collections/wines/products/v-clicq-gr-dame-6pk","23% off","https://cdn.shopify.com/s/files/1/1780/9427/products/V-CLICQ-GR-DAME_large.jpg?v=1746073853","V CLICQ GR DAME-","$210.97","Old price","$272.97"
"https://winechateau.com/collections/wines/products/vegania-vegan-red-blend-nv","12% off","https://cdn.shopify.com/s/files/1/1780/9427/products/VEGANIA-VEGAN-RED-BLEND-NV_large.jpg?v=1746073920","VEGANIA VEGAN RED BLEND NV","$14.97","Old price","$16.97"
"https://winechateau.com/collections/wines/products/van-zeller-30-yr-tawny-port-6p","13% off","https://cdn.shopify.com/s/files/1/1780/9427/products/VAN-ZELLER-30-YR-TAWNY-PORT-6P_large.jpg?v=1746073905","VAN ZELLER 30 YR TAWNY PORT 6P","$112.97","Old price","$129.97"
"https://winechateau.com/collections/wines/products/villa-maria-pb-sauv-blanc","10% off","https://cdn.shopify.com/s/files/1/1780/9427/products/VILLA-MARIA-PB-SAUV-BLANC_large.jpg?v=1746074001","VILLA MARIA PB SAUV BLANC","$17.97","Old price","$19.97"
"https://winechateau.com/collections/wines/products/albarino-white-wine","12% off","https://cdn.shopify.com/s/files/1/1780/9427/files/Rias-Baixas-Albarino-Case-only_large.jpg?v=1746125371","Rías Baixas Albariño (Case only)","$174.97","Old price","$198.97"
"https://winechateau.com/collections/wines/products/amarone-classico-pergole-vece-2016","13% off","https://cdn.shopify.com/s/files/1/1780/9427/products/Le-Salette-AMARONE-CLASSICO-PERGOLE-VECE-2016_large.jpg?v=1746079197","Le Salette AMARONE CLASSICO PERGOLE VECE 2016","$134.97","Old price","$154.97"
"https://winechateau.com/collections/wines/products/avia-pinot-noir-1","17% off","https://cdn.shopify.com/s/files/1/1780/9427/products/Avia-Pinot-Noir_ee16f09b_large.jpg?v=1746079311","Avia Pinot Noir","$9.97","Old price","$11.97"
"https://winechateau.com/collections/wines/products/avia-sauvignon-blanc-1","17% off","https://cdn.shopify.com/s/files/1/1780/9427/products/Avia-Sauvignon-Blanc_large.jpg?v=1746079314","Avia Sauvignon Blanc","$9.97","Old price","$11.97"
"https://winechateau.com/collections/wines/products/barbera-dalba-la-martina-2019","11% off","https://cdn.shopify.com/s/files/1/1780/9427/products/Broccardo-Barbera-dAlba-La-Martina-2019_large.jpg?v=1746079358","Broccardo Barbera d""Alba La Martina 2019","$15.97","Old price","$17.97"
"https://winechateau.com/collections/wines/products/bru-priorat-tinto-2020","13% off","https://cdn.shopify.com/s/files/1/1780/9427/products/Mas-Martinet-Bru-Priorat-Tinto-2020_large.jpg?v=1746079407","Mas Martinet Bru Priorat Tinto 2020","$33.97","Old price","$38.97"
"https://winechateau.com/collections/wines/products/bulli-frizzante-colli-piacentini-julius-bolle-macerato-nv-1","13% off","https://cdn.shopify.com/s/files/1/1780/9427/products/Bulli-Frizzante-Colli-Piacentini-Julius-Bolle-Macerato-NV_large.jpg?v=1746079465","Bulli Frizzante Colli Piacentini 'Julius Bolle Macerato' NV","$20.97","Old price","$23.97"
